,doc_count,key
0,164542,266687
1,135392,24383
2,129665,55184
3,64780,24939
4,63227,24525
5,61646,41094
6,58005,41500
7,55555,24721
8,47091,40269
9,44822,40433
10,42495,186292
11,42393,237247
12,39040,54074
13,38755,226556
14,34931,526296
15,31999,51699
16,31183,186303
17,30500,85392
18,28586,55452
19,28053,266689
20,26516,24230
21,25921,39286
22,25434,26809
23,24208,276225
24,23895,526295
25,23780,24384
26,22915,24288
27,22844,54268
28,22194,40145
29,21718,396303
30,20773,38757
31,20553,35510
32,18844,41292
33,18714,41293
34,18258,35476
35,18175,106014
36,17921,396304
37,17534,266685
38,17097,39287
39,17055,53095
40,16148,40273
41,15728,40143
42,15681,105674
43,15442,237249
44,15033,266686
45,14684,266684
46,14663,41375
47,14270,237756
48,14099,38622
49,14067,186293
50,13776,54810
51,13674,24442
52,13432,40270
53,13002,85396
54,12688,226559
55,12573,38334
56,12443,276278
57,11737,39142
58,11612,40436
59,10596,105833
60,9509,54271
61,9444,526297
62,9216,40435
63,9179,51372
64,9135,426341
65,9052,24080
66,8859,54310
67,8820,54073
68,8359,41093
69,7791,105970
70,7645,24228
71,7221,287913
72,7192,41095
73,6805,40271
74,6739,38902
75,6692,24441
76,6109,237246
77,5784,85391
78,5746,35387
79,5717,40147
80,5647,105411
81,4846,39141
82,4675,54305
83,4588,51260
84,4535,51140
85,4498,266688
86,4476,39158
87,4215,226561
88,4166,85397
89,4106,24531
90,4092,51261
91,4065,40021
92,4031,54312
93,3996,24286
94,3994,105408
95,3936,105800
96,3902,85390
97,3838,54270
98,3746,55302
99,3581,25941
100,3460,35409
101,3323,24084
102,3321,136239
103,3070,54301
104,3054,136072
105,2989,54811
106,2884,24612
107,2837,105842
108,2786,85394
109,2775,39185
110,2721,136074
111,2703,41091
112,2656,35446
113,2601,38353
114,2558,50980
115,2494,35499
116,2476,35513
117,2473,35694
118,2458,39056
119,2407,39137
120,2403,39140
121,2392,105813
122,2375,51693
123,2353,39585
124,2284,226557
125,2199,38900
126,2194,40434
127,2178,38905
128,2129,38756
129,2116,39162
130,2036,35464
131,2033,226558
132,1937,237248
133,1884,54314
134,1825,52933
135,1782,38348
136,1711,136071
137,1679,24098
138,1660,105810
139,1640,40272
140,1438,24723
141,1418,25940
142,1386,54309
143,1351,55010
144,1331,105797
145,1326,105814
146,1319,41090
147,1307,35798
148,1267,38758
149,1238,40296
150,1196,55009
151,1188,55011
152,1184,39583
153,1096,34589
154,1070,54224
155,1044,54300
156,1035,41490
157,1025,39584
158,1024,55012
159,1021,38350
160,970,25162
161,952,105686
162,950,35008
163,940,54254
164,906,54315
165,898,105843
166,881,39139
167,866,34554
168,842,24229
169,827,54269
170,820,54436
171,803,38904
172,748,41629
173,723,41374
174,699,105832
175,696,38349
176,669,38901
177,668,35514
178,668,54313
179,637,24611
180,613,40018
181,600,40427
182,594,41096
183,526,24886
184,525,25186
185,516,186304
186,509,24283
187,504,38347
188,498,41922
189,496,24203
190,490,105342
191,451,40019
192,440,39057
193,425,35447
194,423,24491
195,405,38906
196,393,50985
197,381,39015
198,359,24927
199,352,35797
200,345,41092
201,324,41378
202,307,41499
203,292,39138
204,286,54320
205,285,326366
206,220,105364
207,208,41376
208,196,38352
209,180,39136
210,174,35209
211,156,35762
212,142,105844
213,138,54311
214,127,40144
215,118,24650
216,112,34946
217,107,42385
218,98,24169
219,87,24793
220,66,196216
221,62,41514
222,62,42384
223,59,38626
224,57,24470
225,53,24223
226,41,24876
227,41,38624
228,33,24097
229,33,39582
230,29,38625
