,doc_count,key
0,99534,40146
1,24459,25243
2,14592,41445
3,13178,39586
4,8987,105830
5,7575,40020
6,6320,42401
7,5623,42176
8,4982,105825
9,4694,51134
10,4615,35448
11,4355,105379
12,3745,24482
13,3689,35879
14,3083,35903
15,2839,7756
16,2564,41352
17,2447,105827
18,2294,41157
19,2128,41163
20,2112,105569
21,1916,24144
22,1795,25196
23,1742,34850
24,1547,24986
25,1508,24184
26,1338,24990
27,1136,24425
28,1110,24511
29,1085,24236
30,1065,24925
31,1038,25157
32,967,24175
33,854,105826
34,827,24607
35,803,25194
36,708,35763
37,667,25193
38,626,24633
39,614,24651
40,605,54267
41,502,25238
42,476,24145
43,363,25190
44,337,34851
45,295,24465
46,234,42147
47,215,24481
48,198,41257
49,193,136078
50,188,25184
51,175,35357
52,168,24224
53,166,24503
54,128,24926
55,105,24311
56,104,25191
57,103,42400
58,97,24413
59,69,34848
60,67,41515
61,52,25195
62,32,35759
63,15,42381
