,doc_count,key
0,360564,24565
1,291264,41364
2,242243,35397
3,223921,24208
4,206556,35116
5,203155,24380
6,201096,34598
7,175964,26663
8,174653,24368
9,158527,35113
10,157160,34702
11,155113,54317
12,146428,105796
13,142831,35883
14,130729,24536
15,124410,24697
16,124047,35902
17,99694,35616
18,99238,38623
19,96354,24371
20,93182,24330
21,89674,24638
22,88634,35617
23,87801,24395
24,83800,24673
25,76898,24082
26,73940,24341
27,69939,24752
28,67291,35168
29,66589,40971
30,62217,105980
31,61291,35778
32,58260,24149
33,57332,25444
34,57241,35103
35,54573,24929
36,53960,105977
37,53046,27501
38,53000,35437
39,51893,26206
40,46219,40968
41,41113,24448
42,40796,26059
43,40727,25449
44,39136,24154
45,38281,40283
46,37551,34897
47,35323,25694
48,35315,35106
49,35021,26816
50,34946,40164
51,34936,26207
52,34031,35438
53,33616,25244
54,32496,35683
55,31879,24805
56,31662,24705
57,30626,34905
58,30419,40859
59,29884,41511
60,29792,40856
61,29458,24243
62,28373,35682
63,27625,35473
64,27355,25067
65,26488,35541
66,26216,34597
67,26030,25297
68,24454,24746
69,24427,34906
70,23732,24241
71,23489,26344
72,23425,24087
73,23119,24605
74,22805,40705
75,22379,41489
76,22267,24862
77,21466,24206
78,20826,42272
79,20665,24750
80,19341,25298
81,18963,34455
82,18862,24901
83,18583,24839
84,18002,25693
85,17895,38627
86,17451,24200
87,17368,24804
88,17064,60422
89,16731,24807
90,15534,24217
91,15398,25169
92,15366,40408
93,15332,40643
94,15282,24464
95,15069,24751
96,15027,24841
97,14870,24840
98,14691,24815
99,14617,105627
100,14560,34893
101,14461,24215
102,14323,27351
103,14316,24975
104,14288,24813
105,14239,35009
106,14216,24859
107,13713,35465
108,13492,34902
109,13125,35059
110,13116,25952
111,13075,25236
112,12902,24285
113,12850,35801
114,12814,25237
115,12534,34954
116,12272,26960
117,12133,24449
118,12010,24366
119,11873,24432
120,11866,27500
121,11799,35593
122,11726,35299
123,11674,34481
124,11639,24614
125,11525,35500
126,11250,24443
127,11167,24365
128,11073,35897
129,10983,25300
130,10918,24434
131,10885,24284
132,10874,24401
133,10833,105823
134,10567,24910
135,10477,24909
136,10438,25596
137,10378,24402
138,10278,54251
139,10214,35386
140,10179,25447
141,10160,35779
142,10138,24996
143,10055,27350
144,9992,24978
145,9967,26961
146,9780,35552
147,9623,24567
148,9449,54252
149,9383,24433
150,9362,41051
151,9344,35261
152,9273,54250
153,9171,39016
154,8928,26092
155,8862,25154
156,8727,24408
157,8717,105824
158,8694,41509
159,8442,24385
160,8352,24637
161,8214,26058
162,8187,35558
163,8108,85393
164,7986,35910
165,7889,24270
166,7722,35596
167,7512,25240
168,7471,24593
169,7467,24928
170,7438,24450
171,7394,27489
172,7385,60393
173,7270,85398
174,7231,24399
175,7220,24810
176,7203,42387
177,7180,35712
178,7134,24461
179,7132,24216
180,7095,35872
181,7062,24282
182,6898,42386
183,6888,85387
184,6856,105429
185,6771,24806
186,6648,24545
187,6616,24424
188,6561,24263
189,6549,24476
190,6537,24237
191,6534,24304
192,6531,24083
193,6522,25976
194,6480,24336
195,6417,40298
196,6403,27457
197,6368,46154
198,6358,24430
199,6287,24507
200,6261,34486
201,6112,24671
202,6109,25446
203,6049,42273
204,6018,35777
205,5921,136240
206,5905,24692
207,5857,35378
208,5841,35071
209,5837,35909
210,5822,26210
211,5821,27504
212,5750,40420
213,5696,26815
214,5686,40734
215,5498,35906
216,5424,24400
217,5410,85389
218,5390,24831
219,5375,24440
220,5370,24374
221,5316,35623
222,5296,24362
223,5245,25179
224,5155,24364
225,5121,24660
226,5065,40148
227,4992,40268
228,4985,39427
229,4982,34599
230,4949,25013
231,4915,25268
232,4885,24849
233,4875,35346
234,4809,35539
235,4756,26060
236,4742,40423
237,4738,42274
238,4623,35356
239,4598,24381
240,4564,39058
241,4554,35592
242,4449,41332
243,4393,41779
244,4323,24457
245,4311,41256
246,4223,24703
247,4145,24242
248,4131,24179
249,4120,24506
250,4116,24694
251,4079,34892
252,4065,38481
253,4052,24576
254,4048,35594
255,4047,35210
256,4012,24340
257,4012,40475
258,4001,35058
259,3961,38761
260,3959,35567
261,3901,26209
262,3878,105799
263,3857,38764
264,3854,24656
265,3845,25011
266,3825,24784
267,3767,24312
268,3681,105979
269,3667,42146
270,3631,51284
271,3569,27360
272,3559,24674
273,3553,35527
274,3542,24510
275,3528,24438
276,3484,41145
277,3422,42271
278,3359,24202
279,3344,105846
280,3343,34952
281,3338,42394
282,3333,426342
283,3331,35796
284,3314,27499
285,3259,24367
286,3243,34843
287,3226,24658
288,3215,186301
289,3211,24646
290,3189,24421
291,3147,24152
292,3145,186305
293,3073,35780
294,3050,35776
295,3037,24808
296,3031,24238
297,3026,25239
298,3023,24268
299,3013,54257
300,2996,27479
301,2991,35859
302,2971,24319
303,2964,24548
304,2949,41015
305,2944,55185
306,2903,41630
307,2895,24903
308,2854,24577
309,2844,25104
310,2840,35443
311,2827,54237
312,2810,41631
313,2809,41881
314,2795,24323
315,2792,27347
316,2770,1871
317,2762,35765
318,2729,26404
319,2721,24471
320,2721,24584
321,2688,35792
322,2637,35088
323,2624,24360
324,2599,25097
325,2543,24475
326,2537,136075
327,2523,41259
328,2516,38762
329,2493,35609
330,2492,41762
331,2480,34847
332,2433,34837
333,2411,35867
334,2396,24151
335,2382,24289
336,2381,35665
337,2380,35858
338,2373,40437
339,2369,24812
340,2369,34838
341,2364,24797
342,2361,24830
343,2347,24775
344,2305,41876
345,2290,25160
346,2271,24686
347,2212,24153
348,2196,24403
349,2184,24484
350,2179,35005
351,2173,24269
352,2158,41655
353,2150,38896
354,2149,24529
355,2133,24639
356,2129,35107
357,2120,35155
358,2103,24091
359,2103,25101
360,2096,54260
361,2095,35396
362,2091,24610
363,2085,35086
364,2085,35761
365,2076,35158
366,2070,24245
367,2058,24814
368,2029,35211
369,2022,24836
370,1984,24696
371,1973,24431
372,1973,40747
373,1971,41512
374,1963,24609
375,1955,24240
376,1953,25974
377,1951,24266
378,1946,105834
379,1924,24878
380,1924,25258
381,1917,40616
382,1916,24416
383,1915,42020
384,1906,41885
385,1904,25953
386,1902,24688
387,1898,24856
388,1888,40613
389,1885,24608
390,1868,24985
391,1855,24147
392,1839,24765
393,1838,38755
394,1837,34482
395,1796,24361
396,1792,42267
397,1766,24234
398,1760,38484
399,1760,41254
400,1753,35153
401,1748,24176
402,1747,54256
403,1737,24281
404,1732,24681
405,1725,38351
406,1720,105798
407,1693,24858
408,1660,40299
409,1638,26656
410,1638,35504
411,1637,35693
412,1616,24267
413,1610,35492
414,1607,35157
415,1604,24908
416,1602,24477
417,1599,24573
418,1594,35472
419,1591,35582
420,1578,24745
421,1578,35214
422,1574,24854
423,1572,24626
424,1569,42270
425,1562,24148
426,1558,24881
427,1557,24492
428,1555,24233
429,1555,24489
430,1554,35767
431,1542,35468
432,1530,24654
433,1524,35600
434,1511,24547
435,1502,24363
436,1499,25103
437,1492,35475
438,1486,41017
439,1481,24566
440,1469,35003
441,1465,35686
442,1462,24409
443,1460,34956
444,1458,40142
445,1455,25158
446,1453,15538
447,1453,34785
448,1453,41510
449,1445,35014
450,1442,24628
451,1439,24647
452,1433,25951
453,1428,24857
454,1423,42268
455,1406,24209
456,1400,105696
457,1394,24527
458,1389,40749
459,1381,24505
460,1373,27480
461,1371,24907
462,1371,35590
463,1354,35015
464,1351,24989
465,1348,24700
466,1334,26962
467,1312,24785
468,1312,35773
469,1308,35687
470,1302,24796
471,1301,24702
472,1300,54277
473,1299,24824
474,1298,136077
475,1290,2127
476,1280,24187
477,1280,34944
478,1271,35878
479,1257,24695
480,1257,35427
481,1256,24606
482,1245,42269
483,1243,54265
484,1236,38897
485,1233,105828
486,1232,26546
487,1224,24794
488,1221,42134
489,1217,24095
490,1214,27481
491,1212,24776
492,1210,35362
493,1209,35699
494,1206,41251
495,1203,24221
496,1201,35487
497,1200,24803
498,1196,35865
499,1191,24493
500,1176,24332
501,1174,2160
502,1165,24613
503,1158,27498
504,1157,35772
505,1154,24795
506,1150,41381
507,1146,25445
508,1146,27478
509,1143,34901
510,1142,42264
511,1141,35087
512,1136,40492
513,1136,85388
514,1119,35545
515,1117,34836
516,1114,42148
517,1112,35090
518,1104,35349
519,1100,54282
520,1090,34543
521,1087,35159
522,1086,24988
523,1079,24866
524,1078,24798
525,1076,34950
526,1070,35597
527,1069,24473
528,1062,24884
529,1055,35488
530,1054,54289
531,1050,24085
532,1049,35505
533,1048,2167
534,1044,40421
535,1040,40013
536,1039,35549
537,1036,35790
538,1035,25949
539,1033,24835
540,1033,54304
541,1028,35431
542,1018,35595
543,1015,35501
544,999,35064
545,967,105352
546,967,34480
547,967,54291
548,963,24592
549,963,25159
550,960,24571
551,957,34640
552,955,35608
553,954,24235
554,950,25021
555,943,35877
556,942,24591
557,942,24632
558,938,35791
559,937,24586
560,936,40750
561,930,25593
562,924,35599
563,922,35060
564,921,34799
565,919,24331
566,919,25257
567,912,24483
568,911,35004
569,910,25256
570,907,35070
571,906,24667
572,898,40754
573,896,41884
574,892,24310
575,889,54290
576,885,25977
577,884,54292
578,881,24589
579,878,41883
580,877,2153
581,868,41761
582,864,35716
583,860,26237
584,859,24096
585,859,24469
586,858,24652
587,856,24137
588,855,24189
589,855,41279
590,852,24905
591,850,24701
592,849,41384
593,848,51659
594,846,34479
595,842,51941
596,840,25273
597,837,24543
598,835,35350
599,833,42392
600,832,16496
601,832,35067
602,830,24211
603,826,25276
604,824,24396
605,823,55187
606,821,35544
607,820,38765
608,817,35572
609,812,25278
610,811,42389
611,810,24090
612,809,24272
613,806,24585
614,803,24997
615,803,35068
616,801,24817
617,795,24171
618,788,35543
619,785,24182
620,785,35861
621,785,38766
622,783,24225
623,782,24497
624,781,34551
625,779,24339
626,776,25281
627,773,24904
628,772,24976
629,769,35393
630,768,40887
631,767,24343
632,767,35441
633,765,34544
634,764,24474
635,764,25235
636,764,41390
637,754,40017
638,743,35566
639,740,24838
640,738,24305
641,736,35610
642,733,35496
643,732,34535
644,730,35869
645,729,39428
646,729,42266
647,727,24662
648,724,35719
649,722,25594
650,721,40703
651,719,35381
652,712,35538
653,711,35253
