,doc_count,key
0,164542,266687
1,135392,24383
2,129665,55184
3,99534,40146
4,64780,24939
5,63227,24525
6,61646,41094
7,58005,41500
8,55555,24721
9,47091,40269
10,44822,40433
11,42495,186292
12,42393,237247
13,39040,54074
14,38755,226556
15,34931,526296
16,31999,51699
17,31183,186303
18,30500,85392
19,28586,55452
20,28053,266689
21,26516,24230
22,25921,39286
23,25434,26809
24,24459,25243
25,24208,276225
26,23895,526295
27,23780,24384
28,22915,24288
29,22844,54268
30,22194,40145
31,21718,396303
32,20773,38757
33,20553,35510
34,18844,41292
35,18714,41293
36,18258,35476
37,18175,106014
38,17921,396304
39,17534,266685
40,17097,39287
41,17055,53095
42,16148,40273
43,15728,40143
44,15681,105674
45,15442,237249
46,15033,266686
47,14684,266684
48,14663,41375
49,14592,41445
50,14270,237756
51,14099,38622
52,14067,186293
53,13776,54810
54,13674,24442
55,13432,40270
56,13178,39586
57,13002,85396
58,12688,226559
59,12573,38334
60,12443,276278
61,11737,39142
62,11612,40436
63,10596,105833
64,9509,54271
65,9444,526297
66,9216,40435
67,9179,51372
68,9135,426341
69,9052,24080
70,8987,105830
71,8859,54310
72,8820,54073
73,8359,41093
74,7791,105970
75,7645,24228
76,7575,40020
77,7221,287913
78,7192,41095
79,6805,40271
80,6739,38902
81,6692,24441
82,6320,42401
83,6109,237246
84,5784,85391
85,5746,35387
86,5717,40147
87,5647,105411
88,5623,42176
89,4982,105825
90,4846,39141
91,4694,51134
92,4675,54305
93,4615,35448
94,4588,51260
95,4535,51140
96,4498,266688
97,4476,39158
98,4355,105379
99,4215,226561
100,4166,85397
101,4106,24531
102,4092,51261
103,4065,40021
104,4031,54312
105,3996,24286
106,3994,105408
107,3936,105800
108,3902,85390
109,3838,54270
110,3746,55302
111,3745,24482
112,3689,35879
113,3581,25941
114,3460,35409
115,3323,24084
116,3321,136239
117,3083,35903
118,3070,54301
119,3054,136072
120,2989,54811
121,2884,24612
122,2839,7756
123,2837,105842
124,2786,85394
125,2775,39185
126,2721,136074
127,2703,41091
128,2656,35446
129,2601,38353
130,2564,41352
131,2558,50980
132,2494,35499
133,2476,35513
134,2473,35694
135,2458,39056
136,2447,105827
137,2407,39137
138,2403,39140
139,2392,105813
140,2375,51693
141,2353,39585
142,2294,41157
143,2284,226557
144,2199,38900
145,2194,40434
146,2178,38905
147,2129,38756
148,2128,41163
149,2116,39162
150,2112,105569
151,2036,35464
152,2033,226558
153,1937,237248
154,1916,24144
155,1884,54314
156,1825,52933
157,1795,25196
158,1782,38348
159,1742,34850
160,1711,136071
161,1679,24098
162,1660,105810
163,1640,40272
164,1547,24986
165,1508,24184
166,1438,24723
167,1418,25940
168,1386,54309
169,1351,55010
170,1338,24990
171,1331,105797
172,1326,105814
173,1319,41090
174,1307,35798
175,1267,38758
176,1238,40296
177,1196,55009
178,1188,55011
179,1184,39583
180,1136,24425
181,1110,24511
182,1096,34589
183,1085,24236
184,1070,54224
185,1065,24925
186,1044,54300
187,1038,25157
188,1035,41490
189,1025,39584
190,1024,55012
191,1021,38350
192,970,25162
193,967,24175
194,952,105686
195,950,35008
196,940,54254
197,906,54315
198,898,105843
199,881,39139
200,866,34554
201,854,105826
202,842,24229
203,827,24607
204,827,54269
205,820,54436
206,803,25194
207,803,38904
208,748,41629
209,723,41374
210,708,35763
211,699,105832
212,696,38349
213,669,38901
214,668,35514
215,668,54313
216,667,25193
217,637,24611
218,626,24633
219,614,24651
220,613,40018
221,605,54267
222,600,40427
223,594,41096
224,526,24886
225,525,25186
226,516,186304
227,509,24283
228,504,38347
229,502,25238
230,498,41922
231,496,24203
232,490,105342
233,476,24145
234,451,40019
235,440,39057
236,425,35447
237,423,24491
238,405,38906
239,393,50985
240,381,39015
241,363,25190
242,359,24927
243,352,35797
244,345,41092
245,337,34851
246,324,41378
247,307,41499
248,295,24465
249,292,39138
250,286,54320
251,285,326366
252,234,42147
253,220,105364
254,215,24481
255,208,41376
256,198,41257
257,196,38352
258,193,136078
259,188,25184
260,180,39136
261,175,35357
262,174,35209
263,168,24224
264,166,24503
265,156,35762
266,142,105844
267,138,54311
268,128,24926
269,127,40144
270,118,24650
271,112,34946
272,107,42385
273,105,24311
274,104,25191
275,103,42400
276,98,24169
277,97,24413
278,87,24793
279,69,34848
280,67,41515
281,66,196216
282,62,41514
283,62,42384
284,59,38626
285,57,24470
286,53,24223
287,52,25195
288,41,24876
289,41,38624
290,33,24097
291,33,39582
292,32,35759
293,29,38625
294,15,42381
