,doc_count,key
0,72027,75934
1,52191,106040
2,21120,376304
3,20079,75736
4,15610,376306
5,12942,40426
6,12222,54318
7,10669,376300
8,8478,106045
9,8066,376302
10,6083,40422
11,3277,46423
12,2346,376305
13,2343,106059
14,2249,105374
15,2185,376308
16,1486,106051
17,1446,376301
18,1401,376297
19,1391,106049
20,1270,406875
21,1201,106057
22,1082,426373
23,876,376303
24,807,106050
25,800,106046
26,769,366255
27,756,106058
28,705,376307
29,678,106043
30,640,106042
31,542,376309
32,442,106054
33,421,106048
34,420,376299
35,301,106044
36,200,105687
37,149,42391
38,146,376298
39,138,106041
